,Modified_claude-sonnet-4-20250514_of_CV_Modelclaude-sonnet-4-20250514 Google_UX_claude Score
260,78.489
261,82.019
262,81.164
263,81.962
264,82.945
265,79.79
266,81.925
267,79.33
268,80.129
269,83.935
270,81.147
271,82.417
272,81.978
273,80.138
274,79.362
275,79.24
276,78.73
277,80.133
278,80.071
279,78.26
280,79.253
281,78.489
282,78.777
283,76.483
284,80.02
285,80.152
286,79.647
287,80.019
288,80.443
289,81.419
290,77.17
291,79.855
292,81.042
293,81.146
294,79.657
295,79.832
296,80.072
297,77.055
298,85.418
299,80.959
300,79.439
301,78.153
302,78.257
303,77.257
304,77.128
305,80.428
306,77.396
307,80.252
308,81.674
309,79.817
310,81.106
311,81.489
312,78.317
313,79.48
314,79.697
315,78.373
316,78.408
317,81.372
318,78.635
319,79.825
320,78.753
321,80.314
322,81.617
323,80.533
324,79.482
325,76.489
326,79.533
327,79.317
328,80.867
329,78.502
330,77.172
331,82.98
332,80.155
333,76.25
334,80.036
335,81.836
336,79.389
337,79.937
338,82.667
339,80.24
340,78.111
341,79.616
342,80.424
343,80.705
344,80.042
345,82.507
346,79.836
347,82.158
348,79.194
349,80.715
350,80.581
351,79.95
352,79.6
353,80.194
354,83.684
355,80.899
356,78.058
357,77.85
358,81.769
359,84.29
360,81.758
361,78.376
362,86.391
363,81.663
364,80.301
365,80.616
366,82.487
367,82.149
368,80.678
369,78.894
370,77.425
371,79.058
372,78.401
373,80.623
374,79.089
375,80.961
376,79.716
377,79.579
378,82.327
379,82.687
380,80.838
381,78.724
382,81.208
383,81.584
384,81.167
385,81.175
386,78.984
387,79.836
388,79.206
389,76.763
390,75.656
391,79.674
392,82.484
393,80.819
394,78.875
395,78.875
396,80.113
397,77.759
398,78.369
399,81.762
400,83.607
401,79.546
402,79.943
403,81.652
404,79.171
405,75.226
406,78.047
407,80.595
408,83.849
409,79.792
410,79.729
411,81.511
412,78.191
413,80.397
414,79.19
415,75.235
416,77.21
417,80.943
418,78.788
419,81.56
420,79.236
421,80.58
422,78.063
423,78.632
424,82.402
425,76.03
426,76.435
427,76.846
428,81.252
429,77.165
430,81.285
431,81.02
432,80.092
433,81.509
434,81.779
435,83.507
436,81.992
437,81.354
438,85.221
439,79.445
440,79.139
441,82.093
442,81.661
443,80.076
444,79.669
445,79.547
446,80.484
447,79.081
448,81.288
449,79.633
450,80.636
451,77.828
452,83.521
453,83.152
454,80.057
455,78.398
456,80.722
457,78.768
458,83.09
459,78.667
460,79.309
461,77.118
462,82.213
463,79.9
464,79.999
465,82.295
466,77.335
467,79.413
468,81.024
469,79.008
470,79.546
471,81.267
472,83.614
473,77.201
474,78.27
475,79.344
476,77.663
477,80.322
478,78.108
479,82.111
480,83.451
481,83.193
482,81.685
483,81.921
484,80.378
485,78.27
486,78.211
487,81.475
488,81.2
489,80.058
490,84.034
491,81.521
492,81.438
493,80.04
494,79.799
495,78.781
496,79.317
497,82.026
498,77.861
499,78.745
500,81.515
501,78.529
502,76.39
503,76.825
504,81.412
505,79.557
506,80.417
507,80.149
508,81.621
509,79.245
510,83.521
511,79.554
512,80.497
513,79.283
514,80.564
515,75.212
516,80.607
517,74.32
518,78.687
519,79.028
