,Modified_deepseek-chat_of_CV_Modeldeepseek-chat Google_UX_deepseek Score
260,80.042
261,82.201
262,82.339
263,82.252
264,83.735
265,79.829
266,81.299
267,83.278
268,81.293
269,82.902
270,80.403
271,81.792
272,82.669
273,80.459
274,81.284
275,80.633
276,78.551
277,79.763
278,80.283
279,77.167
280,78.051
281,79.417
282,79.792
283,78.559
284,79.122
285,81.286
286,79.669
287,79.798
288,80.673
289,81.49
290,77.564
291,82.15
292,81.352
293,80.076
294,81.606
295,80.091
296,82.93
297,78.307
298,84.415
299,83.072
300,79.653
301,78.31
302,78.282
303,78.666
304,78.121
305,79.974
306,79.077
307,81.583
308,82.393
309,81.528
310,84.375
311,80.798
312,77.091
313,81.692
314,80.143
315,79.066
316,79.597
317,81.394
318,78.432
319,78.776
320,79.303
321,80.933
322,81.217
323,80.475
324,79.393
325,76.219
326,78.285
327,79.922
328,79.415
329,78.488
330,77.886
331,81.155
332,81.389
333,78.967
334,79.912
335,81.927
336,79.126
337,81.9
338,81.877
339,81.788
340,81.434
341,80.851
342,79.064
343,83.762
344,79.327
345,81.672
346,79.645
347,82.804
348,80.295
349,81.126
350,78.589
351,81.534
352,79.783
353,80.354
354,83.201
355,81.03
356,78.951
357,78.565
358,81.946
359,84.741
360,82.287
361,79.59
362,86.237
363,81.547
364,80.954
365,80.842
366,82.152
367,84.318
368,81.083
369,79.817
370,78.713
371,81.04
372,81.5
373,82.69
374,80.935
375,80.699
376,81.089
377,81.916
378,82.509
379,81.941
380,80.917
381,80.78
382,81.309
383,81.819
384,81.775
385,78.584
386,79.169
387,81.022
388,79.018
389,79.281
390,81.388
391,79.669
392,82.748
393,80.769
394,78.556
395,79.428
396,80.26
397,76.878
398,78.676
399,82.157
400,82.278
401,79.352
402,80.103
403,81.214
404,80.128
405,79.272
406,78.644
407,80.979
408,83.955
409,80.779
410,80.45
411,81.168
412,78.26
413,81.208
414,79.538
415,76.62
416,76.702
417,82.719
418,78.881
419,80.95
420,80.286
421,81.131
422,76.236
423,79.059
424,84.797
425,75.957
426,77.814
427,77.5
428,79.47
429,79.994
430,82.22
431,81.373
432,83.103
433,80.568
434,82.57
435,82.035
436,83.084
437,81.844
438,85.587
439,80.097
440,79.437
441,80.868
442,79.145
443,79.199
444,79.035
445,78.956
446,80.227
447,78.895
448,81.211
449,79.352
450,79.929
451,78.168
452,82.15
453,82.364
454,80.02
455,77.509
456,80.744
457,79.459
458,82.799
459,81.816
460,80.156
461,78.499
462,80.393
463,81.807
464,80.594
465,82.203
466,76.888
467,80.325
468,81.674
469,77.383
470,79.122
471,81.657
472,83.22
473,77.888
474,79.658
475,82.357
476,77.328
477,79.4
478,78.78
479,81.213
480,82.144
481,82.821
482,78.773
483,81.866
484,82.673
485,79.613
486,78.57
487,80.525
488,82.358
489,79.694
490,83.405
491,81.48
492,80.562
493,80.302
494,80.503
495,80.289
496,79.364
497,82.334
498,78.764
499,82.282
500,81.3
501,79.667
502,77.704
503,76.864
504,82.028
505,79.162
506,79.162
507,82.505
508,79.416
509,79.738
510,85.092
511,81.516
512,79.089
513,80.031
514,80.309
515,74.724
516,79.768
517,75.921
518,80.786
519,79.972
