,Modified_gpt-3.5-turbo_of_CV_Modelgpt-3.5-turbo Google_UX_gpt35 Score
260,81.119
261,84.745
262,80.356
263,80.915
264,81.347
265,79.969
266,81.357
267,79.29
268,78.83
269,82.48
270,79.31
271,80.534
272,80.201
273,78.191
274,78.489
275,78.321
276,79.91
277,78.758
278,78.796
279,75.763
280,76.225
281,77.511
282,77.371
283,76.067
284,78.413
285,80.893
286,80.389
287,77.511
288,77.92
289,82.469
290,76.784
291,78.428
292,78.998
293,78.297
294,78.205
295,78.541
296,77.759
297,76.224
298,83.99
299,80.482
300,77.041
301,76.705
302,77.943
303,76.502
304,76.691
305,79.142
306,79.432
307,81.295
308,81.238
309,83.567
310,83.756
311,81.011
312,77.758
313,78.262
314,78.464
315,79.217
316,77.265
317,79.856
318,77.833
319,79.414
320,77.176
321,80.754
322,79.06
323,80.28
324,78.41
325,74.921
326,78.092
327,78.976
328,80.279
329,78.755
330,76.96
331,80.347
332,80.22
333,76.047
334,78.548
335,82.825
336,80.058
337,78.856
338,82.466
339,77.153
340,78.65
341,78.643
342,80.672
343,80.532
344,78.537
345,80.249
346,80.757
347,80.751
348,80.571
349,75.08
350,78.316
351,78.186
352,80.205
353,77.83
354,81.291
355,80.495
356,78.954
357,78.077
358,79.642
359,83.596
360,79.652
361,76.416
362,87.047
363,78.552
364,79.04
365,78.356
366,80.833
367,83.115
368,82.278
369,78.124
370,76.974
371,81.537
372,78.826
373,79.105
374,76.895
375,80.451
376,79.109
377,79.731
378,80.594
379,82.265
380,80.871
381,80.061
382,80.09
383,80.558
384,82.011
385,77.844
386,79.023
387,79.084
388,81.605
389,75.001
390,79.885
391,76.516
392,81.883
393,80.581
394,79.57
395,79.454
396,79.496
397,76.417
398,78.431
399,80.904
400,83.315
401,79.202
402,78.809
403,78.292
404,78.055
405,75.037
406,76.117
407,82.614
408,83.857
409,80.621
410,80.129
411,81.878
412,74.903
413,78.909
414,78.392
415,75.07
416,76.705
417,79.906
418,77.505
419,80.531
420,77.231
421,80.85
422,78.285
423,75.847
424,80.25
425,73.319
426,75.248
427,77.123
428,78.307
429,78.153
430,77.271
431,80.532
432,79.239
433,79.881
434,81.653
435,80.783
436,79.362
437,79.156
438,86.404
439,81.148
440,79.534
441,78.295
442,79.646
443,81.195
444,80.558
445,80.647
446,78.282
447,80.207
448,77.181
449,79.492
450,78.624
451,75.666
452,82.179
453,82.508
454,78.084
455,76.312
456,79.448
457,78.413
458,80.023
459,79.953
460,80.245
461,76.549
462,78.875
463,79.977
464,80.661
465,81.716
466,74.461
467,77.982
468,81.346
469,77.402
470,76.462
471,79.847
472,83.522
473,77.406
474,78.357
475,80.263
476,76.001
477,78.581
478,77.857
479,81.393
480,85.339
481,81.687
482,78.606
483,80.205
484,80.094
485,75.394
486,76.887
487,74.638
488,80.388
489,79.384
490,81.915
491,79.269
492,79.711
493,76.649
494,80.307
495,78.824
496,78.553
497,81.983
498,77.555
499,78.104
500,79.081
501,76.82
502,76.954
503,75.814
504,80.535
505,78.812
506,78.783
507,78.858
508,80.914
509,81.025
510,79.794
511,80.954
512,78.357
513,79.117
514,77.307
515,78.192
516,80.052
517,76.517
518,78.985
519,79.189
