,CV Google_UX Score
0,84.209
1,84.209
2,85.607
3,80.387
4,88.592
5,85.647
6,84.062
7,82.276
8,88.742
9,84.935
10,86.397
11,87.32
12,85.039
13,86.066
14,87.86
15,84.459
16,83.081
17,83.438
18,85.679
19,84.887
20,82.881
21,82.922
22,79.112
23,82.617
24,84.019
25,87.614
26,82.021
27,82.078
28,84.91
29,84.396
30,85.532
31,78.96
32,86.718
33,87.795
34,82.868
35,86.06
36,81.747
37,86.568
38,83.318
39,82.975
40,85.882
41,79.138
42,85.22
43,86.401
44,84.217
45,85.154
46,86.226
47,83.4
48,83.009
49,86.893
50,88.62
51,86.138
52,87.525
53,83.819
54,80.187
55,85.63
56,84.596
57,85.187
58,85.207
59,82.952
60,84.464
61,84.993
62,87.951
63,87.269
64,82.519
65,84.246
66,82.271
67,87.795
68,87.027
69,81.506
70,85.065
71,84.196
72,85.652
73,82.195
74,82.046
75,86.478
76,80.239
77,84.579
78,86.073
79,85.791
80,84.479
81,84.938
82,82.33
83,81.44
84,80.839
85,85.438
86,80.989
87,84.366
88,82.219
89,81.499
90,85.175
91,86.426
92,81.25
93,84.262
94,85.66
95,82.424
96,89.233
97,82.907
98,82.294
99,86.071
100,82.102
101,84.57
102,86.756
103,82.908
104,84.511
105,80.788
106,82.26
107,86.816
108,81.492
109,82.457
110,89.594
111,88.454
112,85.713
113,86.595
114,85.053
115,86.174
116,84.632
117,84.034
118,84.713
119,81.833
120,86.243
121,85.324
122,83.727
123,87.042
124,86.075
125,87.54
126,83.405
127,81.668
128,87.077
129,82.627
130,84.676
131,82.027
132,86.271
133,83.457
134,83.203
135,82.577
136,82.571
137,85.068
138,87.541
139,87.981
140,84.596
141,84.129
142,82.836
143,77.579
144,82.232
145,83.246
146,82.25
147,84.246
148,83.876
149,83.956
150,87.587
151,81.926
152,83.691
153,81.461
154,81.109
155,87.027
156,82.555
157,86.75
158,85.502
159,81.229
160,87.415
161,85.939
162,87.849
163,88.823
164,87.583
165,83.832
166,85.447
167,79.164
168,81.688
169,82.091
170,80.408
171,84.83
172,87.198
173,80.68
174,84.11
175,81.783
176,85.629
177,82.385
178,81.284
179,85.634
180,82.531
181,83.516
182,87.235
183,84.902
184,84.55
185,86.261
186,82.706
187,87.383
188,85.014
189,87.317
190,86.483
191,72.668
192,85.583
193,82.03
194,82.727
195,81.542
196,79.444
197,80.437
198,80.49
199,81.789
200,78.138
201,79.438
202,90.052
203,87.179
204,84.329
205,86.282
206,86.358
207,83.453
208,82.217
209,86.529
210,83.016
211,85.368
212,87.268
213,83.39
214,85.508
215,85.129
216,85.132
217,85.263
218,83.929
219,82.062
220,83.826
221,85.299
222,85.22
223,86.003
224,82.188
225,85.207
226,86.491
227,87.613
228,85.742
229,87.112
230,84.956
231,82.709
232,83.823
233,86.808
234,81.653
235,87.97
236,86.441
237,87.08
238,83.155
239,81.24
240,79.087
241,86.918
242,82.961
243,84.654
244,86.919
245,87.198
246,82.181
247,81.38
248,86.826
249,83.927
250,86.44
251,81.774
252,83.115
253,84.188
254,87.857
255,86.181
256,84.314
257,80.418
258,83.591
259,79.137
