,Modified_openai/gpt-4o_of_Modified_gpt-3.5-turbo_of_CV_Modelgpt-3.5-turbo_Modelopenai/gpt-4o Google_UX Score
0,85.864
1,86.135
2,88.006
3,85.642
4,85.511
5,87.938
6,87.134
7,84.108
8,89.804
9,87.819
10,85.051
11,88.537
12,87.044
13,86.815
14,87.511
15,87.519
16,86.89
17,83.697
18,86.077
19,87.874
20,84.761
21,84.709
22,82.402
23,83.527
24,86.304
25,89.954
26,86.937
27,84.866
28,85.53
29,82.553
30,85.197
31,78.083
32,87.78
33,88.403
34,85.593
35,85.47
36,82.049
37,88.079
38,86.195
39,85.977
40,87.959
41,82.415
42,86.365
43,87.652
44,87.638
45,87.577
46,85.445
47,84.896
48,86.616
49,82.941
50,90.003
51,84.024
52,87.923
53,84.545
54,83.722
55,85.951
56,85.346
57,86.143
58,86.775
59,84.014
60,86.555
61,85.148
62,89.603
63,86.085
64,85.926
65,87.504
66,85.926
67,85.909
68,85.815
69,83.75
70,86.322
71,84.963
72,87.993
73,87.205
74,82.239
75,87.485
76,86.22
77,87.195
78,85.27
79,85.027
80,84.388
81,85.048
82,84.673
83,80.346
84,83.625
85,86.962
86,84.939
87,85.816
88,86.18
89,84.38
90,87.165
91,88.016
92,86.207
93,86.59
94,85.807
95,85.604
96,88.557
97,84.92
98,87.141
99,86.888
100,88.973
101,86.55
102,88.896
103,88.554
104,85.644
105,83.386
106,85.738
107,87.483
108,85.033
109,84.192
110,90.107
111,90.216
112,87.612
113,84.174
114,87.001
115,86.376
116,88.515
117,86.191
118,86.937
119,84.713
120,87.452
121,87.914
122,85.099
123,88.056
124,89.744
125,87.638
126,83.845
127,84.332
128,85.07
129,86.302
130,84.419
131,81.551
132,84.359
133,84.934
134,81.148
135,84.941
136,84.085
137,86.327
138,86.477
139,88.052
140,87.148
141,82.92
142,83.557
143,80.595
144,82.163
145,84.439
146,86.545
147,84.909
148,85.766
149,85.758
150,88.145
151,83.823
152,84.711
153,85.918
154,81.686
155,85.858
156,82.455
157,87.407
158,87.904
159,86.876
160,88.071
161,85.936
162,89.014
163,89.934
164,88.113
165,85.815
166,88.154
167,79.314
168,85.999
169,88.924
170,85.946
171,86.975
172,88.41
173,85.613
174,87.553
175,81.085
176,85.069
177,81.657
178,83.568
179,84.818
180,84.446
181,86.195
182,87.679
183,86.946
184,86.995
185,85.713
186,83.474
187,87.795
188,88.056
189,88.963
190,86.464
191,76.134
192,87.235
193,86.504
194,86.442
195,88.929
196,77.96
197,83.411
198,84.317
199,84.887
200,82.525
201,83.308
202,91.18
203,85.964
204,87.517
205,88.408
206,87.297
207,85.105
208,85.836
209,87.127
210,85.75
211,88.082
212,83.116
213,86.874
214,86.274
215,86.907
216,86.305
217,84.96
218,86.416
219,84.499
220,86.538
221,82.023
222,85.717
223,85.098
224,82.497
225,85.992
226,89.628
227,89.468
228,84.835
229,86.382
230,83.816
231,82.637
232,87.793
233,87.755
234,85.63
235,89.43
236,86.936
237,89.198
238,81.948
239,85.909
240,83.616
241,86.54
242,84.415
243,88.406
244,89.063
245,87.835
246,81.034
247,86.913
248,88.888
249,88.42
250,88.238
251,83.829
252,88.691
253,86.039
254,86.458
255,87.282
256,84.429
257,80.762
258,84.01
259,82.582
