,Modified_openai/gpt-4o_of_Modified_openai_gpt-4o_of_CV_Modelopenai_gpt-4o_Modelopenai/gpt-4o Google_UX Score
0,82.927
1,84.678
2,89.36
3,85.693
4,87.158
5,88.19
6,85.178
7,83.962
8,89.036
9,85.356
10,82.583
11,87.324
12,88.541
13,88.82
14,86.848
15,85.552
16,85.557
17,84.629
18,88.258
19,88.058
20,87.827
21,85.869
22,84.871
23,86.081
24,85.925
25,90.763
26,86.543
27,84.39
28,85.728
29,85.833
30,85.958
31,84.563
32,88.137
33,91.191
34,85.594
35,89.641
36,83.486
37,87.377
38,87.42
39,83.952
40,85.578
41,84.049
42,87.11
43,87.418
44,85.563
45,89.032
46,85.267
47,87.697
48,86.946
49,88.548
50,88.134
51,85.29
52,87.919
53,84.325
54,82.991
55,86.06
56,87.031
57,86.58
58,86.655
59,85.993
60,84.62
61,85.18
62,87.95
63,87.6
64,86.452
65,86.157
66,84.34
67,85.785
68,86.806
69,86.722
70,87.955
71,86.007
72,87.495
73,85.66
74,83.747
75,87.144
76,85.214
77,85.777
78,85.788
79,85.283
80,84.929
81,85.17
82,88.313
83,84.318
84,86.452
85,86.126
86,83.64
87,87.144
88,86.38
89,84.07
90,86.992
91,88.367
92,85.564
93,86.705
94,88.296
95,85.288
96,88.679
97,86.25
98,87.84
99,86.079
100,86.772
101,87.506
102,87.741
103,85.501
104,87.291
105,83.094
106,85.034
107,86.556
108,85.114
109,83.244
110,87.696
111,88.708
112,88.345
113,87.047
114,86.668
115,87.313
116,88.37
117,86.698
118,88.33
119,86.923
120,86.287
121,86.373
122,84.554
123,86.074
124,87.092
125,87.479
126,83.689
127,83.335
128,90.552
129,83.997
130,82.089
131,82.206
132,84.176
133,86.033
134,84.834
135,82.514
136,85.142
137,85.791
138,88.464
139,88.002
140,87.231
141,83.538
142,84.004
143,77.952
144,85.086
145,84.357
146,86.113
147,87.565
148,86.006
149,85.983
150,88.467
151,83.469
152,85.431
153,85.445
154,81.01
155,87.883
156,83.563
157,89.586
158,89.467
159,86.813
160,87.416
161,87.052
162,89.632
163,89.144
164,88.008
165,84.482
166,86.646
167,82.961
168,84.0
169,84.611
170,88.703
171,85.714
172,88.79
173,86.267
174,89.584
175,85.672
176,86.32
177,87.867
178,85.265
179,86.974
180,85.735
181,84.894
182,87.822
183,87.411
184,84.042
185,87.507
186,83.481
187,89.815
188,87.345
189,88.196
190,87.076
191,78.498
192,86.046
193,85.969
194,85.461
195,85.955
196,83.866
197,84.538
198,86.233
199,83.771
200,79.12
201,84.183
202,90.695
203,85.939
204,86.425
205,87.785
206,85.801
207,88.784
208,85.368
209,89.539
210,85.577
211,86.554
212,86.939
213,88.185
214,87.606
215,86.602
216,86.513
217,84.683
218,87.746
219,86.108
220,87.928
221,88.228
222,87.839
223,85.79
224,82.571
225,87.381
226,89.324
227,88.679
228,86.715
229,89.794
230,85.209
231,83.804
232,87.603
233,87.716
234,88.032
235,88.572
236,86.61
237,89.088
238,87.147
239,86.463
240,83.877
241,86.49
242,88.01
243,87.799
244,88.065
245,88.126
246,86.57
247,88.276
248,87.886
249,87.281
250,86.72
251,85.932
252,83.904
253,84.902
254,90.639
255,86.876
256,86.187
257,86.225
258,84.687
259,84.337
