,Modified_gpt-4o_of_Modified_openai_gpt-4o-mini_of_CV_Modelopenai_gpt-4o-mini_Modelgpt-4o Google_UX Score
0,82.949
1,83.91
2,87.201
3,82.076
4,88.883
5,88.398
6,86.449
7,81.967
8,89.608
9,85.186
10,83.528
11,87.015
12,89.054
13,86.428
14,85.592
15,87.994
16,84.171
17,83.514
18,88.005
19,86.295
20,87.729
21,84.748
22,85.842
23,84.014
24,84.547
25,90.327
26,88.767
27,84.084
28,87.005
29,84.555
30,84.129
31,83.354
32,87.118
33,89.337
34,85.205
35,86.942
36,86.196
37,87.763
38,87.84
39,85.201
40,85.875
41,84.406
42,88.187
43,86.877
44,85.724
45,86.269
46,86.471
47,85.875
48,87.06
49,88.244
50,87.882
51,84.341
52,89.877
53,84.955
54,85.962
55,85.112
56,86.126
57,84.559
58,85.623
59,86.556
60,87.606
61,83.59
62,89.468
63,88.298
64,86.275
65,87.233
66,84.766
67,87.12
68,87.58
69,86.531
70,84.921
71,86.096
72,87.855
73,86.878
74,82.063
75,87.441
76,88.924
77,86.201
78,84.661
79,85.033
80,84.372
81,86.152
82,87.043
83,82.603
84,82.429
85,87.6
86,84.142
87,87.45
88,88.715
89,83.263
90,87.427
91,88.105
92,82.16
93,87.935
94,88.277
95,84.013
96,87.356
97,85.975
98,84.71
99,88.204
100,87.675
101,87.517
102,88.853
103,87.25
104,87.672
105,84.581
106,85.895
107,88.172
108,83.163
109,85.051
110,90.093
111,88.321
112,87.594
113,87.35
114,85.494
115,86.766
116,88.673
117,86.342
118,88.446
119,86.364
120,86.911
121,85.983
122,84.22
123,86.631
124,88.269
125,87.941
126,83.237
127,83.292
128,89.257
129,86.165
130,82.326
131,85.856
132,84.138
133,87.422
134,82.972
135,82.553
136,87.094
137,87.879
138,88.188
139,88.041
140,87.209
141,85.31
142,83.832
143,77.209
144,85.011
145,83.011
146,82.616
147,85.324
148,85.157
149,84.519
150,87.636
151,82.143
152,85.32
153,83.676
154,82.076
155,86.167
156,83.867
157,88.894
158,86.411
159,86.756
160,87.878
161,86.556
162,89.664
163,89.441
164,90.094
165,85.249
166,86.865
167,82.441
168,84.28
169,87.689
170,87.818
171,86.69
172,87.233
173,85.183
174,88.215
175,84.204
176,85.124
177,84.771
178,83.008
179,86.266
180,83.787
181,85.359
182,87.994
183,86.867
184,83.032
185,86.289
186,82.554
187,88.692
188,87.296
189,88.546
190,86.027
191,79.044
192,87.946
193,86.28
194,85.909
195,87.637
196,85.43
197,87.824
198,84.431
199,84.682
200,81.416
201,83.687
202,90.528
203,87.642
204,86.139
205,87.278
206,87.234
207,87.217
208,83.94
209,87.688
210,86.035
211,89.651
212,86.315
213,86.354
214,86.872
215,87.303
216,85.479
217,87.306
218,89.888
219,86.521
220,87.239
221,86.511
222,88.116
223,84.827
224,84.739
225,87.132
226,88.99
227,89.68
228,87.717
229,85.825
230,85.831
231,88.914
232,87.796
233,88.976
234,87.382
235,88.198
236,84.438
237,89.209
238,85.751
239,84.139
240,84.519
241,86.554
242,87.129
243,87.544
244,87.567
245,89.114
246,85.317
247,86.946
248,89.269
249,87.827
250,87.157
251,84.217
252,82.871
253,87.181
254,89.449
255,86.587
256,86.234
257,84.84
258,83.801
259,83.099
