,CV Google_UX Score
0,78.228
1,81.609
2,79.725
3,80.315
4,82.063
5,78.716
6,78.701
7,79.604
8,78.912
9,81.581
10,77.576
11,77.834
12,81.767
13,76.921
14,78.332
15,77.912
16,78.151
17,80.017
18,80.242
19,74.56
20,80.623
21,78.227
22,76.744
23,76.668
24,79.658
25,81.252
26,78.624
27,78.807
28,77.76
29,79.096
30,77.36
31,78.666
32,79.025
33,78.168
34,79.045
35,78.204
36,77.804
37,75.902
38,83.337
39,80.985
40,78.094
41,76.029
42,78.451
43,76.874
44,75.935
45,80.029
46,78.241
47,80.299
48,80.744
49,81.327
50,82.265
51,81.198
52,76.603
53,78.715
54,77.605
55,79.729
56,79.045
57,80.08
58,78.286
59,79.195
60,80.742
61,81.891
62,81.321
63,79.317
64,79.106
65,74.33
66,77.934
67,79.151
68,79.282
69,79.589
70,77.39
71,81.588
72,81.217
73,77.053
74,80.594
75,79.596
76,79.286
77,80.395
78,80.727
79,76.806
80,79.981
81,78.759
82,80.171
83,81.385
84,77.388
85,81.06
86,80.739
87,81.001
88,79.31
89,79.164
90,78.982
91,79.279
92,77.488
93,79.456
94,81.653
95,80.746
96,79.677
97,77.916
98,80.706
99,81.988
100,81.63
101,76.937
102,85.506
103,78.27
104,77.33
105,79.056
106,82.238
107,81.064
108,82.107
109,78.392
110,77.033
111,78.893
112,79.384
113,78.875
114,77.408
115,79.098
116,79.517
117,80.108
118,81.936
119,81.741
120,78.573
121,78.442
122,80.901
123,82.671
124,80.14
125,77.582
126,78.873
127,80.617
128,78.261
129,75.384
130,78.408
131,75.989
132,80.649
133,79.905
134,79.093
135,79.115
136,79.256
137,76.503
138,77.982
139,80.099
140,81.66
141,78.175
142,78.554
143,78.21
144,77.503
145,75.24
146,76.272
147,82.081
148,81.82
149,79.801
150,79.123
151,79.917
152,77.896
153,79.351
154,78.441
155,74.021
156,77.18
157,80.794
158,77.792
159,79.569
160,77.81
161,80.984
162,78.193
163,75.2
164,81.996
165,72.858
166,74.564
167,78.677
168,78.575
169,77.162
170,78.291
171,78.865
172,79.502
173,79.579
174,80.711
175,81.139
176,78.47
177,79.725
178,84.575
179,79.07
180,75.672
181,78.445
182,78.609
183,79.514
184,79.081
185,75.858
186,77.464
187,77.76
188,79.381
189,80.429
190,79.403
191,77.031
192,83.684
193,82.915
194,79.226
195,77.299
196,78.775
197,79.094
198,82.06
199,78.276
200,77.845
201,77.508
202,82.473
203,79.281
204,76.914
205,80.285
206,75.919
207,80.462
208,78.399
209,75.298
210,79.181
211,78.716
212,83.21
213,76.772
214,78.73
215,81.843
216,77.525
217,79.081
218,77.939
219,80.533
220,82.487
221,81.524
222,76.757
223,79.591
224,79.365
225,75.297
226,77.562
227,79.848
228,79.045
229,79.82
230,80.863
231,80.198
232,80.466
233,78.434
234,79.826
235,79.471
236,77.39
237,80.539
238,78.231
239,77.884
240,80.193
241,77.577
242,76.603
243,76.121
244,80.135
245,78.658
246,78.275
247,80.374
248,79.345
249,78.982
250,80.316
251,80.333
252,77.049
253,79.743
254,80.593
255,74.234
256,78.321
257,75.865
258,78.548
259,77.255
