,Modified_gpt-3.5-turbo_of_CV_Modelgpt-3.5-turbo Google_UX_gpt35 Score
0,81.119
1,84.745
2,80.356
3,80.915
4,81.347
5,79.969
6,81.357
7,79.29
8,78.83
9,82.48
10,79.31
11,80.534
12,80.201
13,78.191
14,78.489
15,78.321
16,79.91
17,78.758
18,78.796
19,75.763
20,76.225
21,77.511
22,77.371
23,76.067
24,78.413
25,80.893
26,80.389
27,77.511
28,77.92
29,82.469
30,76.784
31,78.428
32,78.998
33,78.297
34,78.205
35,78.541
36,77.759
37,76.224
38,83.99
39,80.482
40,77.041
41,76.705
42,77.943
43,76.502
44,76.691
45,79.142
46,79.432
47,81.295
48,81.238
49,83.567
50,83.756
51,81.011
52,77.758
53,78.262
54,78.464
55,79.217
56,77.265
57,79.856
58,77.833
59,79.414
60,77.176
61,80.754
62,79.06
63,80.28
64,78.41
65,74.921
66,78.092
67,78.976
68,80.279
69,78.755
70,76.96
71,80.347
72,80.22
73,76.047
74,78.548
75,82.825
76,80.058
77,78.856
78,82.466
79,77.153
80,78.65
81,78.643
82,80.672
83,80.532
84,78.537
85,80.249
86,80.757
87,80.751
88,80.571
89,75.08
90,78.316
91,78.186
92,80.205
93,77.83
94,81.291
95,80.495
96,78.954
97,78.077
98,79.642
99,83.596
100,79.652
101,76.416
102,87.047
103,78.552
104,79.04
105,78.356
106,80.833
107,83.115
108,82.278
109,78.124
110,76.974
111,81.537
112,78.826
113,79.105
114,76.895
115,80.451
116,79.109
117,79.731
118,80.594
119,82.265
120,80.871
121,80.061
122,80.09
123,80.558
124,82.011
125,77.844
126,79.023
127,79.084
128,81.605
129,75.001
130,79.885
131,76.516
132,81.883
133,80.581
134,79.57
135,79.454
136,79.496
137,76.417
138,78.431
139,80.904
140,83.315
141,79.202
142,78.809
143,78.292
144,78.055
145,75.037
146,76.117
147,82.614
148,83.857
149,80.621
150,80.129
151,81.878
152,74.903
153,78.909
154,78.392
155,75.07
156,76.705
157,79.906
158,77.505
159,80.531
160,77.231
161,80.85
162,78.285
163,75.847
164,80.25
165,73.319
166,75.248
167,77.123
168,78.307
169,78.153
170,77.271
171,80.532
172,79.239
173,79.881
174,81.653
175,80.783
176,79.362
177,79.156
178,86.404
179,81.148
180,79.534
181,78.295
182,79.646
183,81.195
184,80.558
185,80.647
186,78.282
187,80.207
188,77.181
189,79.492
190,78.624
191,75.666
192,82.179
193,82.508
194,78.084
195,76.312
196,79.448
197,78.413
198,80.023
199,79.953
200,80.245
201,76.549
202,78.875
203,79.977
204,80.661
205,81.716
206,74.461
207,77.982
208,81.346
209,77.402
210,76.462
211,79.847
212,83.522
213,77.406
214,78.357
215,80.263
216,76.001
217,78.581
218,77.857
219,81.393
220,85.339
221,81.687
222,78.606
223,80.205
224,80.094
225,75.394
226,76.887
227,74.638
228,80.388
229,79.384
230,81.915
231,79.269
232,79.711
233,76.649
234,80.307
235,78.824
236,78.553
237,81.983
238,77.555
239,78.104
240,79.081
241,76.82
242,76.954
243,75.814
244,80.535
245,78.812
246,78.783
247,78.858
248,80.914
249,81.025
250,79.794
251,80.954
252,78.357
253,79.117
254,77.307
255,78.192
256,80.052
257,76.517
258,78.985
259,79.189
