,Modified_gpt-4o_of_Modified_gpt-3.5-turbo_of_CV_Modelgpt-3.5-turbo_Modelgpt-4o Google_UX Score
0,80.829
1,82.291
2,78.796
3,80.811
4,82.405
5,79.386
6,81.179
7,78.839
8,79.822
9,83.659
10,82.481
11,83.179
12,81.759
13,79.285
14,79.54
15,78.461
16,80.39
17,78.85
18,80.007
19,75.702
20,76.416
21,78.383
22,80.615
23,76.378
24,79.089
25,79.874
26,80.129
27,79.746
28,76.402
29,81.732
30,75.591
31,82.333
32,78.68
33,80.686
34,77.891
35,78.988
36,82.055
37,75.433
38,84.732
39,82.068
40,79.315
41,77.248
42,78.502
43,76.781
44,78.746
45,80.895
46,78.048
47,80.687
48,82.013
49,83.145
50,81.557
51,82.478
52,77.188
53,80.736
54,78.319
55,81.221
56,79.039
57,80.068
58,79.242
59,78.984
60,75.997
61,79.194
62,79.163
63,80.398
64,77.78
65,75.19
66,78.631
67,79.046
68,79.507
69,79.02
70,77.512
71,81.093
72,80.189
73,78.137
74,77.868
75,82.42
76,80.463
77,80.069
78,81.468
79,78.29
80,82.014
81,78.477
82,81.107
83,84.071
84,77.61
85,81.53
86,78.776
87,79.263
88,79.516
89,76.763
90,79.343
91,78.458
92,79.666
93,78.174
94,81.969
95,80.443
96,79.587
97,78.828
98,80.122
99,80.917
100,80.064
101,79.552
102,85.883
103,81.138
104,78.354
105,80.881
106,82.499
107,82.45
108,81.088
109,78.918
110,78.918
111,80.561
112,80.872
113,81.381
114,77.166
115,79.237
116,81.644
117,80.215
118,79.515
119,81.593
120,80.036
121,79.708
122,80.601
123,79.763
124,80.638
125,77.237
126,80.334
127,80.235
128,80.138
129,75.682
130,79.689
131,80.34
132,80.93
133,80.199
134,79.592
135,79.394
136,78.997
137,79.033
138,78.43
139,79.598
140,82.604
141,79.438
142,80.374
143,82.362
144,77.484
145,79.164
146,79.929
147,81.484
148,83.277
149,78.873
150,80.096
151,81.544
152,74.764
153,79.055
154,78.51
155,74.099
156,77.137
157,82.443
158,78.987
159,80.353
160,77.394
161,81.848
162,78.503
163,78.514
164,85.62
165,75.691
166,75.359
167,78.766
168,81.4
169,76.962
170,79.995
171,80.326
172,80.417
173,82.071
174,80.844
175,80.366
176,83.133
177,79.744
178,85.322
179,78.571
180,81.223
181,79.656
182,78.749
183,79.367
184,79.351
185,78.009
186,79.435
187,79.61
188,77.208
189,79.428
190,79.886
191,79.36
192,84.146
193,84.079
194,78.695
195,75.935
196,78.414
197,79.144
198,80.28
199,80.215
200,79.777
201,78.564
202,82.265
203,80.224
204,79.6
205,83.137
206,74.592
207,80.603
208,83.245
209,76.182
210,78.978
211,81.846
212,82.415
213,77.437
214,77.846
215,79.06
216,79.329
217,78.855
218,78.618
219,82.497
220,82.766
221,80.211
222,80.812
223,80.467
224,79.243
225,74.498
226,78.496
227,79.396
228,79.816
229,81.004
230,80.192
231,81.254
232,78.373
233,77.027
234,80.272
235,79.745
236,79.328
237,78.77
238,79.069
239,82.51
240,80.239
241,77.989
242,78.407
243,76.796
244,80.408
245,79.353
246,81.869
247,79.831
248,80.302
249,80.11
250,81.286
251,80.341
252,77.403
253,79.279
254,76.147
255,77.683
256,79.356
257,75.451
258,79.156
259,78.623
