,Optimized_openai/gpt-4o DoorDash_PM_gpt4o Score
0,86.19
1,83.946
2,90.521
3,86.456
4,86.752
5,84.741
6,83.873
7,85.891
8,84.805
9,85.767
10,88.364
11,82.945
12,85.721
13,82.373
14,91.146
15,82.642
16,81.713
17,80.881
18,79.427
19,85.015
20,81.959
21,82.356
22,87.649
23,83.776
24,86.723
25,87.773
26,83.685
27,88.602
28,83.624
29,83.067
30,87.92
31,87.56
32,89.431
33,90.432
34,81.676
35,85.616
36,84.783
37,81.19
38,85.016
39,83.161
40,88.398
41,84.035
42,83.857
43,90.497
44,82.071
45,87.136
46,83.852
47,84.579
48,87.606
49,81.968
