,CV DoorDash_PM Score
0,81.061
1,84.806
2,81.328
3,82.467
4,81.239
5,78.576
6,81.196
7,80.252
8,84.576
9,79.446
10,81.59
11,79.582
12,85.334
13,79.147
14,84.456
15,80.748
16,78.747
17,80.034
18,79.222
19,78.72
20,81.981
21,77.844
22,82.191
23,80.268
24,81.376
25,79.921
26,81.741
27,82.577
28,79.643
29,82.204
30,80.412
31,83.747
32,83.41
33,80.488
34,78.533
35,82.808
36,82.911
37,79.108
38,85.071
39,80.347
40,79.548
41,77.226
42,82.431
43,80.178
44,79.263
45,80.745
46,81.369
47,81.448
48,80.692
49,79.425
50,83.81
