,Optimized_gpt-3.5-turbo Doordash_PM Score
0,83.491
1,82.818
2,79.66
3,82.816
4,81.594
5,83.668
6,83.706
7,79.348
8,83.811
9,81.286
10,82.487
11,81.466
12,78.594
13,81.185
14,82.666
15,80.999
16,77.661
17,83.114
18,78.197
19,77.218
20,79.066
21,80.559
22,82.765
23,80.029
24,80.956
25,79.334
26,81.011
27,79.879
28,79.793
29,82.311
30,77.828
31,82.816
32,80.343
33,83.492
34,83.78
35,82.219
36,81.993
37,79.028
38,82.632
39,80.073
40,79.725
41,78.161
42,79.751
43,80.997
44,80.619
45,80.605
46,83.461
47,82.251
48,81.222
49,80.377
50,83.269
