,Modified_openai_gpt-4o_of_Optimized_gpt-3.5-turbo_Modelopenai_gpt-4o Doordash_PM Score
0,83.804
1,83.016
2,79.536
3,83.344
4,81.734
5,83.846
6,83.317
7,79.61
8,84.309
9,82.1
10,82.405
11,80.707
12,79.509
13,81.5
14,81.544
15,80.895
16,78.906
17,82.504
18,78.016
19,77.107
20,79.113
21,80.632
22,82.854
23,80.255
24,81.973
25,79.094
26,81.444
27,79.763
28,79.494
29,83.141
30,77.694
31,82.875
32,80.524
33,83.686
34,83.112
35,80.023
36,82.189
37,79.364
38,84.586
39,81.107
40,79.297
41,78.346
42,80.524
43,80.553
44,82.06
45,80.664
46,83.827
47,82.619
48,81.471
49,80.616
50,82.218
