,Modified_openai/gpt-4o_of_Optimized_openai/gpt-4o_Modelopenai/gpt-4o Doordash_PM Score
0,85.581
1,84.205
2,90.286
3,86.156
4,87.177
5,83.958
6,84.682
7,85.907
8,84.805
9,85.972
10,88.636
11,83.188
12,85.538
13,82.735
14,91.058
15,83.01
16,81.939
17,81.183
18,80.209
19,85.325
20,80.707
21,82.262
22,86.742
23,83.713
24,85.419
25,87.119
26,82.701
27,88.559
28,82.398
29,83.262
30,87.329
31,87.526
32,89.307
33,90.166
34,81.698
35,85.651
36,85.133
37,81.148
38,85.672
39,83.019
40,86.818
41,83.988
42,84.163
43,90.258
44,82.033
45,87.846
46,84.532
47,84.213
48,88.327
49,82.189
