,Optimized_openai/gpt-4o-mini Doordash_PM Score
0,84.536
1,83.622
2,84.184
3,83.799
4,81.588
5,84.892
6,84.84
7,83.306
8,84.638
9,81.55
10,83.315
11,83.608
12,83.864
13,80.621
14,84.743
15,85.01
16,81.54
17,83.032
18,78.713
19,81.117
20,80.848
21,82.887
22,84.904
23,83.551
24,83.676
25,80.47
26,83.001
27,84.541
28,81.506
29,84.892
30,79.975
31,84.086
32,84.442
33,84.872
34,79.776
35,83.663
36,85.394
37,80.33
38,85.746
39,83.755
40,82.5
41,81.624
42,79.595
43,83.853
44,82.314
45,81.242
46,84.648
47,83.56
48,83.268
49,81.051
50,83.887
