,CV DoorDash PM Score
0,78.009
1,78.009
2,77.359
3,76.957
4,78.456
5,81.739
6,78.834
7,77.836
8,80.946
9,78.917
10,77.007
11,80.946
12,83.88
13,80.852
14,82.694
15,78.953
16,79.948
17,76.477
18,80.344
19,80.609
20,82.031
21,80.423
22,80.823
23,78.568
24,76.06
25,78.697
26,77.467
27,76.224
28,83.437
29,79.979
30,79.706
31,80.099
32,81.65
33,77.461
34,78.127
35,80.984
36,75.482
37,79.429
38,80.426
39,78.545
40,78.659
41,76.695
42,80.098
43,80.914
44,79.556
45,77.586
46,79.801
47,80.576
48,80.151
49,81.412
