,Optimized_gpt-3.5-turbo Doordash_PM Score
0,75.684
1,80.077
2,78.12
3,77.997
4,81.402
5,83.536
6,77.752
7,76.28
8,80.556
9,78.409
10,73.331
11,79.097
12,82.337
13,81.105
14,80.379
15,75.758
16,80.105
17,77.457
18,79.285
19,81.402
20,80.317
21,76.778
22,81.095
23,75.393
24,76.659
25,78.451
26,74.155
27,77.364
28,84.094
29,77.206
30,79.55
31,80.074
32,83.026
33,77.19
34,76.568
35,75.585
36,76.846
37,75.394
38,80.387
39,77.198
40,77.731
41,76.734
42,78.256
43,78.274
44,77.708
45,75.63
46,75.755
47,81.719
48,80.323
49,78.011
