,Optimized_gpt-4o Doordash_PM Score
0,79.753
1,78.298
2,78.518
3,82.596
4,80.805
5,82.928
6,80.74
7,79.119
8,82.689
9,79.531
10,75.907
11,82.833
12,85.692
13,81.835
14,84.257
15,81.242
16,81.024
17,78.769
18,81.219
19,81.182
20,83.193
21,82.324
22,82.398
23,80.956
24,78.675
25,79.695
26,80.585
27,79.485
28,82.374
29,81.078
30,82.459
31,82.649
32,81.604
33,77.761
34,79.041
35,79.732
36,78.908
37,80.904
38,81.258
39,80.39
40,77.201
41,79.323
42,80.904
43,80.725
44,80.87
45,79.331
46,80.007
47,80.706
48,81.138
49,81.274
