,Modified_openai/gpt-4o_of_Optimized_gpt-3.5-turbo_Modelopenai/gpt-4o Doordash_PM Score
0,76.723
1,80.213
2,76.927
3,77.465
4,80.903
5,81.563
6,81.049
7,76.634
8,79.492
9,77.313
10,72.693
11,81.088
12,83.301
13,82.589
14,80.251
15,76.017
16,80.344
17,77.76
18,79.681
19,82.016
20,80.666
21,77.53
22,81.11
23,77.243
24,76.6
25,77.383
26,75.604
27,77.152
28,83.152
29,78.186
30,80.81
31,81.176
32,81.892
33,79.945
34,77.168
35,75.075
36,81.216
37,77.878
38,79.513
39,77.624
40,77.615
41,77.72
42,79.864
43,77.334
44,77.718
45,76.41
46,77.056
47,82.296
48,81.257
49,79.502
