,Modified_openai/gpt-4o_of_Optimized_gpt-4o_Modelopenai/gpt-4o Doordash_PM Score
0,79.017
1,79.004
2,76.757
3,82.227
4,80.372
5,83.101
6,79.669
7,79.119
8,83.358
9,79.402
10,77.197
11,83.158
12,84.243
13,82.352
14,83.338
15,81.411
16,81.374
17,78.223
18,80.515
19,80.696
20,83.891
21,81.253
22,82.159
23,82.063
24,78.222
25,79.967
26,80.409
27,79.282
28,83.054
29,81.453
30,83.122
31,83.109
32,81.786
33,79.012
34,78.803
35,79.42
36,78.731
37,80.771
38,82.107
39,82.24
40,76.748
41,78.625
42,81.152
43,80.895
44,81.178
45,80.111
46,80.12
47,81.218
48,82.133
49,81.856
