,Optimized_gpt-4o-mini Doordash_PM Score
0,78.02
1,81.32
2,80.647
3,80.612
4,82.184
5,81.852
6,81.254
7,79.741
8,83.175
9,81.275
10,76.721
11,82.335
12,84.149
13,82.737
14,83.873
15,79.97
16,83.034
17,79.139
18,80.941
19,80.439
20,82.516
21,80.349
22,84.525
23,80.136
24,79.601
25,79.718
26,80.724
27,79.956
28,84.277
29,79.769
30,82.328
31,83.857
32,84.079
33,79.089
34,80.278
35,80.048
36,81.678
37,80.45
38,80.505
39,81.728
40,79.358
41,79.689
42,80.509
43,83.359
44,80.025
45,78.506
46,79.329
47,80.942
48,81.187
49,81.111
